% f evaluations | g evaluations | best noise-free fitness - Fopt (1.791698516106e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
619 619 +3.998593456e-09 +2.069898516e+02 00000000 -4.4635e+00 -4.7990e+00 -1.0182e+00 -3.6662e+00 -2.2217e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-4.100901483894e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.384586272e+04 -4.203879522e+02 90909090 -4.7397e+00 -2.2570e+00 +1.9448e+00 -1.7000e+00 +2.5049e+00
3 2 +3.384586266e+04 -4.203879521e+02 90909090 -4.7397e+00 -2.2570e+00 +1.9448e+00 -1.7000e+00 +2.5049e+00
7 7 +1.010629868e+03 -4.103959250e+02 90909090 -2.3038e+00 -1.4509e+00 +2.7028e+00 -5.3885e-01 +7.1325e-01
13 13 +2.312125513e+01 -4.100937660e+02 80909070 -2.2343e+00 -1.4579e+00 +2.7474e+00 -4.9694e-01 +6.5355e-01
19 19 +1.178105312e-02 -4.100783673e+02 00000000 -2.2334e+00 -1.4679e+00 +2.7532e+00 -4.8892e-01 +6.4755e-01
73 73 +5.191545285e-04 -4.100896292e+02 00000000 -2.4858e+00 -4.0736e+00 +2.5803e+00 +1.6244e+00 -4.6901e-02
79 79 +1.997255358e-04 -4.100899487e+02 00000000 -2.4887e+00 -4.1519e+00 +2.5988e+00 +1.6829e+00 -7.2018e-02
85 85 +1.979428816e-06 -4.100901464e+02 00000000 -2.4888e+00 -4.1545e+00 +2.5994e+00 +1.6849e+00 -7.2853e-02
86 85 +1.942342806e-06 -4.100901464e+02 00000000 -2.4888e+00 -4.1545e+00 +2.5994e+00 +1.6849e+00 -7.2853e-02
88 87 +1.856941140e-06 -4.100901465e+02 00000000 -2.4888e+00 -4.1545e+00 +2.5994e+00 +1.6849e+00 -7.2853e-02
91 91 +2.007482180e-08 -4.100901484e+02 00000000 -2.4884e+00 -4.1476e+00 +2.5977e+00 +1.6799e+00 -7.0685e-02
103 103 +1.992020771e-08 -4.100901484e+02 00000000 -2.4887e+00 -4.1527e+00 +2.5989e+00 +1.6836e+00 -7.2288e-02
238 238 +3.999957698e-09 -4.100901484e+02 00000000 -2.4884e+00 -4.1533e+00 +2.6004e+00 +1.6836e+00 -7.2614e-02
% f evaluations | g evaluations | best noise-free fitness - Fopt (5.060985161055e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +6.395850747e+04 +1.604527121e+01 99099990 +2.9565e+00 -4.4626e+00 -4.9078e+00 +2.2812e+00 +1.6439e+00
4 3 +6.395850742e+04 +1.604527098e+01 99099990 +2.9565e+00 -4.4626e+00 -4.9078e+00 +2.2812e+00 +1.6439e+00
7 7 +5.743160088e+04 +1.866518422e+01 99099990 +2.6426e+00 -3.6944e+00 -4.7097e+00 +2.4264e+00 +1.5576e+00
13 13 +3.621799168e+04 +2.849175912e+01 99099990 +1.6218e+00 -1.1977e+00 -4.0659e+00 +2.8983e+00 +1.2771e+00
19 19 +5.252687609e+03 +4.739834798e+01 99099990 +1.3585e-01 +2.4475e+00 -3.1271e+00 +3.5865e+00 +8.6714e-01
25 25 +2.342832064e+03 +4.915354919e+01 99099990 +2.5174e-02 +2.7958e+00 -3.0443e+00 +3.6481e+00 +8.2546e-01
31 31 +1.513276459e-03 +5.061136489e+01 00000000 -9.8871e-03 +3.1059e+00 -2.9856e+00 +3.6941e+00 +7.8272e-01
