% f evaluations | g evaluations | best noise-free fitness - Fopt (3.957183424000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
31 31 +6.982872475e-03 +6.015800606e+02 000000000000 +1.4447e+00 -3.3368e+00
34 34 +3.605474978e-05 +6.015731138e+02 000000000000 +1.4456e+00 -3.3360e+00
37 37 +2.400721542e-07 +6.015730780e+02 000000000000 +1.4456e+00 -3.3360e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (4.615808960000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.393956111e+05 +5.564187925e+01 999009999990 +1.0040e-01 -4.3558e-02
3 2 +3.393956087e+05 +5.564187926e+01 999009999990 +1.0040e-01 -4.3558e-02
4 4 +8.136763697e+04 +4.656130810e+01 999009999990 +1.6802e+00 -1.8971e+00
7 7 +4.052463612e+02 +4.615723657e+01 999008897990 +2.1759e+00 -2.4787e+00
10 10 +1.371094249e+02 +4.615840302e+01 999008090990 +2.1774e+00 -2.4806e+00
13 13 +1.505169858e-03 +4.615959477e+01 000000000000 +2.1782e+00 -2.4817e+00
52 52 +2.710526896e-05 +4.615811671e+01 000000000000 +2.1784e+00 -2.4816e+00
55 55 +2.400290740e-07 +4.615808984e+01 000000000000 +2.1784e+00 -2.4816e+00
58 58 +2.400000199e-09 +4.615808960e+01 000000000000 +2.1784e+00 -2.4816e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.408602476800e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +4.316864476e+03 -1.116129762e+02 009000090900 +1.5137e+00 +2.4371e+00
3 2 +4.316864385e+03 -1.116129759e+02 009000090900 +1.5137e+00 +2.4371e+00
4 4 +2.974294222e+03 -1.250296615e+02 009000090900 +4.5571e-01 +1.5230e+00
7 7 +1.953010669e+00 -1.408062233e+02 009000000000 -1.8923e+00 -4.9724e-01
10 10 +4.888491233e-02 -1.408113628e+02 000000000000 -1.8985e+00 -4.9965e-01
31 31 +1.624508496e-02 -1.408440026e+02 000000000000 -1.9026e+00 -5.0896e-01
34 34 +2.442424907e-03 -1.408578053e+02 000000000000 -1.9003e+00 -5.1220e-01
37 37 +2.485024331e-05 -1.408602228e+02 000000000000 -1.9000e+00 -5.1279e-01
40 40 +2.399995225e-05 -1.408602237e+02 000000000000 -1.9000e+00 -5.1279e-01
42 41 +2.394363759e-05 -1.408602237e+02 000000000000 -1.9000e+00 -5.1279e-01
43 43 +2.400499284e-07 -1.408602474e+02 000000000000 -1.9000e+00 -5.1280e-01
45 44 +1.837354660e-07 -1.408602475e+02 000000000000 -1.9000e+00 -5.1280e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt (-8.304827136000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.008186794e+05 -8.881262945e+01 999999999999 +3.3275e+00 +2.2664e+00
3 2 +1.008186791e+05 -8.881262939e+01 999999999999 +3.3275e+00 +2.2664e+00
4 4 +9.390341525e+03 -8.697003632e+01 999999999999 -2.3867e+00 +1.7158e+00
7 7 +9.604193183e-04 -8.304731094e+01 000000000000 -2.9737e+00 +1.6592e+00
43 43 +2.948153249e-05 -8.304824188e+01 000000000000 -2.9736e+00 +1.6592e+00
46 46 +2.400443009e-07 -8.304827112e+01 000000000000 -2.9736e+00 +1.6592e+00
148 148 +2.400000199e-09 -8.304827136e+01 000000000000 -2.9736e+00 +1.6592e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.002917656495e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.893860911e+05 +1.000800346e+01 909999009099 -2.8672e+00 +8.7821e-01
3 2 +1.893860908e+05 +1.000800346e+01 909999009099 -2.8672e+00 +8.7821e-01
4 4 +8.705446651e+04 +9.956778427e+00 909999009099 -4.1448e-01 +2.0588e+00
7 7 +4.310361448e+02 +1.002855672e+01 909999009099 +1.6617e+00 +3.0582e+00
10 10 +1.350028101e-05 +1.002919007e+01 000000000000 +1.6722e+00 +3.0632e+00
69 69 +6.244715790e-06 +1.002918281e+01 000000000000 +1.6721e+00 +3.0632e+00
72 72 +4.821762190e-08 +1.002917661e+01 000000000000 +1.6720e+00 +3.0632e+00
154 154 +4.800142506e-10 +1.002917657e+01 000000000000 +1.6720e+00 +3.0632e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.496075001600e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.192911773e+03 -1.419381645e+02 000909000090 +1.8331e+00 +1.0856e+00
3 2 +1.192911767e+03 -1.419381646e+02 000909000090 +1.8331e+00 +1.0856e+00
4 4 +1.049420276e+03 -1.431810769e+02 000909000090 +1.7883e+00 +1.2995e+00
7 7 +2.002449134e-01 -1.495457728e+02 000008000000 +1.4716e+00 +2.9101e+00
10 10 +6.980249835e-02 -1.495376977e+02 000000000000 +1.4698e+00 +2.9095e+00
25 25 +7.326477850e-03 -1.496001737e+02 000000000000 +1.4766e+00 +2.9227e+00
28 28 +2.402005558e-03 -1.496050982e+02 000000000000 +1.4773e+00 +2.9236e+00
31 31 +2.453620758e-05 -1.496074756e+02 000000000000 +1.4776e+00 +2.9240e+00
34 34 +2.400536800e-07 -1.496074999e+02 000000000000 +1.4776e+00 +2.9240e+00
76 76 +2.400014409e-09 -1.496075002e+02 000000000000 +1.4776e+00 +2.9240e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (4.291621120000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.838884860e+05 +4.405254398e+01 999999999999 +1.2991e+00 +5.5308e-01
4 4 +4.134833320e+04 +4.137948735e+01 999999999999 -1.0943e+00 -2.2782e+00
7 7 +1.252570081e-04 +4.291633646e+01 000000000000 -1.3832e+00 -2.6200e+00
52 52 +2.486151446e-05 +4.291623606e+01 000000000000 -1.3832e+00 -2.6200e+00
55 55 +2.399995512e-05 +4.291623520e+01 000000000000 -1.3832e+00 -2.6200e+00
58 58 +2.400398031e-07 +4.291621144e+01 000000000000 -1.3832e+00 -2.6200e+00
157 157 +2.400014409e-09 +4.291621120e+01 000000000000 -1.3832e+00 -2.6200e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (3.275452800000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +4.044566352e+05 +3.117871475e-01 999999090999 -1.1514e-01 -3.4013e+00
2 1 +4.044566349e+05 +3.117871488e-01 999999090999 -1.1514e-01 -3.4013e+00
4 4 +1.040660918e+05 -6.131556890e+00 999999090999 +2.1129e+00 +1.0695e+00
7 7 +5.169037001e+02 +3.214080102e+00 999999090999 +2.8810e+00 +2.6107e+00
10 10 +9.218845313e-04 +3.276374685e+00 000000000000 +2.8849e+00 +2.6185e+00
46 46 +2.634214597e-05 +3.275479142e+00 000000000000 +2.8848e+00 +2.6184e+00
49 49 +2.400249066e-07 +3.275453040e+00 000000000000 +2.8848e+00 +2.6184e+00
52 52 +2.400001975e-09 +3.275452802e+00 000000000000 +2.8848e+00 +2.6184e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (7.394097216000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.762415125e+05 +1.250067270e+02 990909999999 +1.6684e+00 -4.8208e+00
2 1 +3.762415118e+05 +1.250067272e+02 990909999999 +1.6684e+00 -4.8208e+00
4 4 +1.879676989e+03 +7.385557992e+01 990909999999 -2.7980e-01 +3.1806e+00
7 7 +6.481223345e+00 +7.394070666e+01 880709880089 -2.8953e-01 +3.2206e+00
10 10 +3.402832791e-04 +7.394131244e+01 000000000000 -2.8954e-01 +3.2209e+00
52 52 +2.495309482e-05 +7.394099711e+01 000000000000 -2.8960e-01 +3.2208e+00
55 55 +2.399995026e-05 +7.394099616e+01 000000000000 -2.8960e-01 +3.2208e+00
56 55 +2.396490261e-05 +7.394099612e+01 000000000000 -2.8960e-01 +3.2208e+00
58 58 +2.400916514e-07 +7.394097240e+01 000000000000 -2.8960e-01 +3.2208e+00
59 58 +2.050441168e-07 +7.394097237e+01 000000000000 -2.8960e-01 +3.2208e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (9.576165120000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.133421290e+04 +1.906023199e+01 990900900009 -2.1503e-01 +8.7403e-01
4 4 +4.939250775e+03 +1.176214490e+01 990900900009 +9.2833e-02 -6.8454e-01
7 7 +2.041138896e+01 +9.590914632e+00 970900900009 +3.3061e-01 -1.8833e+00
10 10 +3.677061382e-02 +9.612935734e+00 000000000000 +3.3474e-01 -1.8880e+00
31 31 +4.816354147e-03 +9.580981474e+00 000000000000 +3.3098e-01 -1.8894e+00
34 34 +2.474593459e-05 +9.576189866e+00 000000000000 +3.3040e-01 -1.8896e+00
37 37 +2.400185775e-07 +9.576165360e+00 000000000000 +3.3040e-01 -1.8896e+00
40 40 +2.399998422e-09 +9.576165122e+00 000000000000 +3.3040e-01 -1.8896e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.979924704000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.388299859e+02 +3.368224563e+02 000000000000 -3.5419e+00 +4.0533e+00
4 4 +1.372294759e+02 +3.352219463e+02 000000000000 -3.5156e+00 +3.9935e+00
7 7 +5.758014138e+01 +2.555726118e+02 000000000000 -1.8417e+00 +5.1919e-01
10 10 +2.855217316e+01 +2.265446436e+02 000000000000 -9.7961e-01 -1.2337e+00
13 13 +7.620903181e+00 +2.056133736e+02 000000000000 -1.3047e-01 -2.9326e+00
16 16 +2.045541184e+00 +2.000380116e+02 000000000000 +1.3933e-01 -3.5433e+00
19 19 +3.273424715e-01 +1.983198129e+02 000000000000 +2.6903e-01 -3.7216e+00
22 22 +5.721017504e-03 +1.979981914e+02 000000000000 +2.9231e-01 -3.7578e+00
25 25 +2.399936163e-03 +1.979948703e+02 000000000000 +2.9263e-01 -3.7581e+00
28 28 +2.416012339e-05 +1.979924946e+02 000000000000 +2.9280e-01 -3.7584e+00
30 29 +2.384461624e-05 +1.979924942e+02 000000000000 +2.9280e-01 -3.7584e+00
34 34 +2.400241783e-07 +1.979924706e+02 000000000000 +2.9280e-01 -3.7584e+00
